measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1990,11026253.73696637,15201325.96257285,7679181.745791945
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1990,18063013.73261673,24787891.531774182,12622020.132826976
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1990,7107416.888526727,9770090.438697755,4916528.772987443
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1990,11553601.57141945,15798184.748831386,7993111.857551703
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1992,11804820.280787498,16225388.584378934,8221944.766935817
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1992,19132844.47429698,26126588.550213736,13356656.511091478
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1992,7342263.218474793,10069904.111916255,5090599.96679794
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1992,11919314.239241656,16299530.006705174,8244741.573928243
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1994,12477379.917191552,17081913.7739654,8682777.51351399
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1994,20071611.775056116,27430889.47041004,14016921.227715937
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1994,7574250.853664821,10390387.373789685,5257671.088567039
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1994,12300761.442532012,16765812.422456978,8533021.386570768
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1991,11425363.379653223,15737964.302935911,7954898.997274339
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1991,18609446.069041137,25487671.374368552,13005591.020786207
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1991,7226263.76686215,9932954.88873054,5011921.845632333
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1991,11734361.805990143,16067849.218040477,8109667.158135589
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1993,12157673.36323559,16679927.832608907,8469888.380978305
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1993,19620335.623651996,26829820.332356725,13690773.101548232
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1993,7459010.518864013,10252327.050376475,5177764.518154187
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1993,12107758.39714874,16506418.170013882,8391258.56242791
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1995,7690125.084783232,10554618.525492905,5333156.62673313
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1995,12499006.852921005,17020692.929083683,8687219.369260898
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1997,13240066.662538363,18178072.467836317,9211768.987265946
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1997,21167926.123949524,28963707.320509452,14836231.842891458
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1997,7925775.129843307,10872968.696534175,5490692.058122736
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1997,13090771.281003978,17860913.111611765,9110611.156662734
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1996,13011081.398076965,17897753.967757892,9043314.54758743
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1996,20830453.62444661,28535158.770919234,14594961.600112092
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1996,7807281.3736565,10726684.252987886,5412537.234119493
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1996,12753997.599050093,17385201.08886831,8871948.348920098
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1998,13458751.28440329,18521090.859832726,9357988.032598756
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1998,21497868.180137925,29416045.292085722,15069774.538733855
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1998,8045166.635257325,11028401.388576837,5594887.46737795
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1998,13464173.736094048,18398964.38376019,9388721.933368983
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1995,12760278.94018324,17546071.040970135,8858930.41619485
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1995,20473013.565607343,28005627.748075433,14309839.091792507
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1999,13680413.135793993,18822237.231451612,9516257.926515315
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1999,21836401.187669083,29893643.668507233,15317015.022229295
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1999,8164044.721225041,11214211.768296732,5666594.78549657
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1999,13826723.775907919,18841647.49244047,9675499.638475932
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2000,13917414.279324349,19143065.83596663,9680582.190446477
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2000,22203109.365177017,30464953.765628144,15579251.582903001
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2000,8281582.419277714,11370541.162479041,5757514.432245217
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2000,14132738.289803488,19217350.82266713,9860593.047319053
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2001,14185643.898551356,19519767.903475992,9857079.75781465
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2001,22612426.410026733,31006121.562265895,15880411.601470046
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2001,8390875.293762155,11535818.938626127,5842212.775219668
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2001,14359471.184900519,19507198.911608472,10023494.37852689
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2004,15076471.408138767,20707321.868341777,10494802.854968494
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2004,23949629.47689145,32807067.66796086,16831440.87316734
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2004,8675213.583799899,11895770.102942085,6052628.318052801
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2004,14841806.82815904,20189912.67390406,10359862.339211516
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2002,14479013.767991234,19874039.948047463,10079380.600041315
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2002,23051084.08491771,31643263.360994115,16199213.75051146
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2002,8487950.697207913,11659961.303420844,5918155.923871391
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2002,14538707.27444107,19790454.841663197,10158764.309757218
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2006,15509925.756783715,21258938.268593967,10783453.442111654
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2006,24624788.284888204,33670396.402646646,17331792.705635186
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2006,8933435.534838872,12268127.881612452,6228978.298019245
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2006,15235500.633530872,20723763.21855037,10624303.648677494
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2003,14780872.879325544,20330215.876274105,10275847.41746889
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2003,23503138.93332614,32203715.654001284,16523716.64317411
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2003,8579724.95625535,11767496.233244326,5976392.369055032
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2003,14689972.02843414,19974820.07406824,10273362.857933002
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2005,15347080.418973427,21118800.49117554,10672321.976022039
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2005,24368279.793672822,33338362.522684436,17131559.335899927
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2005,8784921.53729386,12043514.928951772,6119765.518957429
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2005,15017461.270942671,20422621.657713115,10468365.65104216
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2007,15541599.97434595,21369011.96357116,10811222.692067552
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2007,24674647.01324987,33745026.8829531,17371702.872465536
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2007,9126912.228125142,12503911.717109198,6356872.840220042
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2007,15484225.538256237,21099001.677346136,10815219.92074692
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2009,15525820.131007561,21350150.067793533,10797701.452168696
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2009,24659545.743997503,33593448.4929657,17361804.656937927
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2009,9535392.002722513,13092842.825504612,6636578.63197764
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2009,15983803.768477613,21826187.03703836,11170253.329423292
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2008,9336357.720773362,12817607.781956619,6501978.203391165
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2008,15741724.22291477,21461941.271913398,10992965.873412086
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2008,15519038.164901264,21381268.344545197,10784684.538987776
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2008,24638819.591817223,33625076.31884239,17341238.577196788
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2011,15909981.50459864,21860118.751472864,11063967.45129937
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2011,25286996.29021828,34453300.14147119,17811945.91924616
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2011,9828369.28568555,13471443.366333716,6842194.034154317
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2011,16343999.471520485,22339837.636872057,11395700.812475152
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2010,15661501.579181366,21478785.899411187,10890935.17716596
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2010,24887414.826250356,33894237.351073086,17516892.73569139
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2010,9699483.853278156,13290389.833796727,6740748.685538329
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2010,16193799.120999308,22120120.150358446,11302641.855128886
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2012,16177837.751367193,22237615.766073257,11237389.555972239
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2012,25708590.905734353,35049036.80616163,18102627.98529535
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2012,9942533.304093815,13655866.94959537,6929853.590476202
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2012,16442824.082636857,22459069.899193447,11473865.53603959
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2014,16739128.198821336,23044554.26980352,11643443.345561681
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2014,26584625.55467728,36207807.41770159,18707062.729648456
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2014,10169848.021269701,13984142.625643412,7082458.185656241
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2014,16625170.113017535,22749852.363545034,11522651.572981754
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2016,17296930.76787767,23804864.51584586,12052045.915752882
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2016,27449243.76818994,37328670.15250374,19298735.311006088
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2016,10491591.152080039,14445890.883606542,7275498.591976616
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2016,17037343.931243256,23287480.867169257,11780043.62205301
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2013,16455775.483021429,22626805.957379803,11460502.612616356
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2013,26142826.611490004,35625461.19052442,18399907.4834376
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2013,10053766.441015545,13799659.054594861,7001898.200931313
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2013,16523996.636449033,22590789.772835273,11460637.79249155
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2015,17024501.351674598,23400920.871653598,11852176.182025144
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2015,27024942.109921087,36770761.433883004,19010747.597998742
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2015,10304817.549573867,14158208.469631067,7166783.715216021
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2015,16785942.40086689,23006266.740129534,11631226.581320895
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2017,17574440.936207835,24147269.885614734,12273926.683895158
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2017,27871716.763599508,37961484.30646722,19571731.939923856
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2017,10679161.890071921,14662554.30156178,7411535.248414565
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2017,17294396.34197205,23647411.65421698,11950938.942301692
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2019,18183101.97318224,24947034.556073572,12682047.117916403
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2019,28680540.11529091,39319357.85416118,20155772.90550672
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2019,10955964.05259164,15063072.477397634,7631304.145859778
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2019,17720086.395673145,24281320.726777542,12238290.903135765
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,2018,17870320.377177868,24497752.247038558,12468442.6777871
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,2018,28290286.383916084,38426649.26278352,19918500.28125506
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,2018,10824865.95632303,14891049.989447854,7535763.452676509
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,2018,17511479.05401883,23954877.845888752,12095201.408061856
